City,Name,,Description,Media link,Tags,Hub
London,London,"There exists a ""Connection"" shared slack channel ""london-ai-safety-hub"" mostly maintained by Maris Sala. Invite only, message Maris (maris@conjecture.dev) with your involvement in AI Safety to join.

SERI MATS currently have a coworking space in London.
Conjecture are based in London and may host visitors on direct invite.
Center on Long-term Risk is based in London.
Deepmind has a London office.
There also exist several uni groups, EA & Rationalish meetups",maris@conjecture.dev,,,1
Madrid,Madrid,,,,ENAIS,0
Magdeburg,Magdeburg,,,,ENAIS,0
Munich,Munich,"Couple of AIS discussion groups; high interest, but fragmented research. AIS not yet a prominent topic in universities",,,ENAIS,0
Munich,Munich,"There are currently two bi-weekly reading groups with slightly different focus
1. Advanced AI and Neural Networks with focus on Alignment (most recent papers and posts)
2. AI Safety fundamentals (Superintelligence)",,,,0
 Paris,Paris,There's a french AI safety community with enough members in Paris to have regular meetups,https://discord.gg/CDcRyyzqJ9,,ENAIS,0
 Prague,Prague,"- ACS research group
- Human-aligned Summerschool
- Prague Fall Season / FixedPoint co-working   -PIBBSS",,,ENAIS,1
Bratislava,Progressbar,"We're a former hackerspace (since 2010) now home to digital communities, among them Machine Learning and Effective Altruism.
We'll be delivering the AGI Safety programs to tech and non-tech folk, and generally advocate for AI Safety in policy and among the AI startups and corporates.",progressbar.sk,,,0
 Stockholm,Stockholm,"Direct work
Researchers:
- Anders Sandberg (part time in Stockholm region)
- Olle Häggström  (part time in Stockholm region)
- Allan Dafoe (part time in Stockholm region)
- Vincent Boulanin

People working with AI, with an interest in Safety
- Anton Osika
- Oliver Edholm
- Krisitan Rönn

Organizations with some relevance to AI Safety
- SIPRI
- Institutet för framtidsstudier

Movement building:
People
- Jonas Hallgren
- Chris Gerrby",,,ENAIS,0
Tallinn,Tallinn,,,,ENAIS,0
Tartu,Tartu,,,,ENAIS,0
 Tübingen,Tübingen,"Tübingen has a large cluster of AI institutes, including two Max-Planck Institutes and a large department at the university. The IMPRS-IS which is the joint program for all institutes has over 200 PhD students working on AI and related questions. According to statements by the organisers of the IMPRS-IS, Tübingen is the biggest AI location in Europe. There is a large and vibrant EA chapter in Tübingen that regularly has meetings with 20 or more people some of whom are focused on AI safety. Unfortunately, nobody in the faculty seems really interested about the kind of AI safety that tries to prevent catastrophic outcomes from misaligned AI. I (Marius) think there should be a presence of AI safety researchers there, but I'm also frustrated with the current faculty and thus intend to leave Tübingen in the near future. ",,,ENAIS,1
 Utrecht,Utrecht,"In Utrecht, both the technical and the governance track of the AGI Safety Fundamentals courses are being run. There is co-working, sometimes hackathons, a paper reading group. You can contact mailvanteun@gmail.com for more information, or apply on the website! ",https://eautrecht.nl/aisafety,https://eautrecht.nl/aisafety,ENAIS,0
 Vienna,VAIA,"In Vienna, there is VAIA, the Vienna AI Alignment Group, a recently founded network of professionals working on AI alignment. The group includes academic researchers, startup staff, as well as independent researchers.",https://github.com/ViennaAI/info,,ENAIS,0
 Zurich,ZAIA,"Zürich AI Alignment group (ZAIA): (see website)
1) AGI Safety Fundamentals Course
2) Reading group discussing recent AI safety research
3) Collaboration on research projects

ETH Zürich near-term AI safety research:
1) Safe Artificial Intelligence
2) Computer Security and Privacy Group 
3) Learning & Adaptive Systems Group  

OpenPhil funded researchers:
1) Prof. Dr. Florian Tramèr (formerly OpenPhil)
2) Cynthia Chen (PhD student)
3) Zhijing Jin (PhD student)

Other researchers:
1) Lennart Heim (GovAI) 
2) Jérémy Scheurer (FAR AI)
3) Johannes Gasteiger (Google Research)",https://www.zurich-ai-alignment.com/ ,,ENAIS,1
Helsinki,Helsinki,"Direct work: 
Researchers: 
- Anna Katariina Wisakanto (part time in Helsinki region)",,,ENAIS,0
